Source,Target,Type,Id,Label,timeset,Weight
226380994085115,260819157288541,Directed,55,,,1
226380994085115,148915424022,Directed,56,,,1
226380994085115,434442736640539,Directed,57,,,1
226380994085115,671813316191644,Directed,58,,,1
226380994085115,80303969429,Directed,59,,,1
226380994085115,483085598450062,Directed,60,,,1
226380994085115,542996135760195,Directed,61,,,1
226380994085115,285787344772043,Directed,62,,,1
226380994085115,234071796644027,Directed,63,,,1
226380994085115,117727151619588,Directed,64,,,1
226380994085115,119392921408296,Directed,65,,,1
226380994085115,108384249192358,Directed,66,,,1
226380994085115,40248352831,Directed,67,,,1
226380994085115,330528723704405,Directed,68,,,1
226380994085115,160385187326110,Directed,69,,,1
226380994085115,104002292969382,Directed,70,,,1
226380994085115,598497313498421,Directed,71,,,1
226380994085115,423139864436712,Directed,72,,,1
226380994085115,112432842116375,Directed,73,,,1
226380994085115,163502416997218,Directed,74,,,1
226380994085115,61213649618,Directed,75,,,1
226380994085115,196247840517944,Directed,76,,,1
226380994085115,165878254250,Directed,77,,,1
226380994085115,472311859487039,Directed,78,,,1
226380994085115,133910143309154,Directed,79,,,1
226380994085115,152552288115942,Directed,80,,,1
226380994085115,260833087368590,Directed,81,,,1
226380994085115,106538626050216,Directed,82,,,1
226380994085115,99158093147,Directed,83,,,1
226380994085115,105090206230520,Directed,84,,,1
226380994085115,241867085852973,Directed,85,,,1
226380994085115,135299372719,Directed,86,,,1
226380994085115,226130625557,Directed,87,,,1
226380994085115,203999956301716,Directed,88,,,1
226380994085115,110767978989316,Directed,89,,,1
226380994085115,195138233950854,Directed,90,,,1
226380994085115,467829466599535,Directed,91,,,1
226380994085115,114409914422,Directed,92,,,1
226380994085115,148662828478047,Directed,93,,,1
226380994085115,23402039579,Directed,94,,,1
226380994085115,189353597751741,Directed,95,,,1
226380994085115,159411297001,Directed,96,,,1
226380994085115,212128282140573,Directed,97,,,1
226380994085115,141406265878756,Directed,98,,,1
226380994085115,192366194179807,Directed,99,,,1
226380994085115,270947436361261,Directed,100,,,1
226380994085115,459866517377723,Directed,101,,,1
226380994085115,283889985025083,Directed,102,,,1
226380994085115,441092072582012,Directed,103,,,1
226380994085115,402692329795588,Directed,104,,,1
226380994085115,176629862359769,Directed,105,,,1
226380994085115,421911591193325,Directed,106,,,1
226380994085115,105879159522982,Directed,107,,,1
226380994085115,243162112394447,Directed,108,,,1
226380994085115,269241116504826,Directed,109,,,1
226380994085115,279359032144522,Directed,110,,,1
226380994085115,200585653298805,Directed,111,,,1
226380994085115,291981867486977,Directed,112,,,1
226380994085115,212235555192,Directed,113,,,1
226380994085115,23200868598,Directed,114,,,1
226380994085115,449881680467,Directed,115,,,1
226380994085115,112836955449317,Directed,116,,,1
226380994085115,119677581444554,Directed,117,,,1
226380994085115,96599902887,Directed,118,,,1
226380994085115,127128043964568,Directed,119,,,1
226380994085115,283048951715725,Directed,120,,,1
226380994085115,34767149008,Directed,121,,,1
226380994085115,54971236771,Directed,122,,,1
190437687666949,887398251275691,Directed,123,,,1
190437687666949,722757587821503,Directed,124,,,1
190437687666949,444007185707294,Directed,125,,,1
190437687666949,956105987737009,Directed,126,,,1
190437687666949,599125390225104,Directed,127,,,1
190437687666949,191157927594153,Directed,128,,,1
190437687666949,645313582162337,Directed,129,,,1
190437687666949,543968522301181,Directed,130,,,1
190437687666949,1109136145769812,Directed,131,,,1
190437687666949,671974326254282,Directed,132,,,1
190437687666949,185674334890158,Directed,133,,,1
190437687666949,333524406807067,Directed,134,,,1
190437687666949,351692666730,Directed,135,,,1
190437687666949,209996925732144,Directed,136,,,1
190437687666949,152007268155906,Directed,137,,,1
190437687666949,499056336801708,Directed,138,,,1
190437687666949,764555870308742,Directed,139,,,1
190437687666949,1141702229178578,Directed,140,,,1
190437687666949,296137117069925,Directed,141,,,1
190437687666949,198802196904696,Directed,142,,,1
190437687666949,1584936018453649,Directed,143,,,1
190437687666949,360991957399917,Directed,144,,,1
190437687666949,115298625211450,Directed,145,,,1
190437687666949,288707177952079,Directed,146,,,1
190437687666949,218267631535536,Directed,147,,,1
190437687666949,332280893566178,Directed,148,,,1
190437687666949,169043796467600,Directed,149,,,1
190437687666949,369014859880323,Directed,150,,,1
190437687666949,18468761129,Directed,151,,,1
190437687666949,1382181485337781,Directed,152,,,1
190437687666949,124409374357039,Directed,153,,,1
190437687666949,1575357299344207,Directed,154,,,1
190437687666949,343221755869610,Directed,155,,,1
190437687666949,1552593761640823,Directed,156,,,1
190437687666949,113847935446490,Directed,157,,,1
190437687666949,457359224332461,Directed,158,,,1
190437687666949,467762689942868,Directed,159,,,1
190437687666949,49729693499,Directed,160,,,1
190437687666949,872224956196985,Directed,161,,,1
190437687666949,299966159738,Directed,162,,,1
190437687666949,108506379455,Directed,163,,,1
190437687666949,587430014679212,Directed,164,,,1
190437687666949,124339950984219,Directed,165,,,1
190437687666949,185462641604352,Directed,166,,,1
190437687666949,128828200643096,Directed,167,,,1
190437687666949,414695105268259,Directed,168,,,1
190437687666949,168411509965738,Directed,169,,,1
190437687666949,274026972614424,Directed,170,,,1
190437687666949,42495086330,Directed,171,,,1
190437687666949,682219445195704,Directed,172,,,1
190437687666949,406623299353164,Directed,173,,,1
190437687666949,287090314756989,Directed,174,,,1
190437687666949,260052904154136,Directed,175,,,1
190437687666949,106023406156130,Directed,176,,,1
190437687666949,1457182657834538,Directed,177,,,1
190437687666949,1380673955498232,Directed,178,,,1
190437687666949,627892027247424,Directed,179,,,1
