Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link,,,,
2.12736E+14,EventosProfesionalesFILM,,,Education,0,134,0,no,https://www.facebook.com/Eventos-Profesionales-FILM-212736368903337/,,,,
1.20398E+14,RediClusterPuebla,,iClusterPuebla,Organization,0.02,134,0,yes,https://www.facebook.com/iClusterPuebla/,,,,
1.05573E+14,EdronAcademy,,,LocalBusiness,0,140,0,no,https://www.facebook.com/pages/Edron-Academy/105573242809845,,,,
8.67387E+14,2doForodeInnovaciónyEstrategiaGlobal,,,Education,0,147,0,yes,https://www.facebook.com/2do-Foro-de-Innovación-y-Estrategia-Global-867386789961508/,,,,
1.42794E+15,Yatta,,torneos.yatta,Community,0,148,0,yes,https://www.facebook.com/torneos.yatta/,,,,
1.64443E+14,LAFCampusLaguna,,LAFCampusLaguna,College&University,0,150,1,yes,https://www.facebook.com/LAFCampusLaguna/,,,,
1.56327E+14,MBATecnológicoDeMonterreyCampusCuernavaca,,,School,0,150,1,yes,https://www.facebook.com/MBA-Tecnológico-De-Monterrey-Campus-Cuernavaca-156326747843559/,,,,
4.96063E+14,InstitutodeOftalmologíayCienciasVisuales,,,Doctor,0,150,0,yes,https://www.facebook.com/Instituto-de-Oftalmología-y-Ciencias-Visuales-496062673754546/,,,,
1.71849E+14,SAARQCVA,,saarq.cva,Community,0,153,0,yes,https://www.facebook.com/saarq.cva/,,,,
1.69994E+15,ColoniaLaPrimavera,,coloniaprimavera,CommunityOrganization,0,154,0,yes,https://www.facebook.com/coloniaprimavera/,,,,
1.18094E+15,RobotCombat,,robot.combat.mrl,Company,0,159,0,yes,https://www.facebook.com/robot.combat.mrl/,,,,
1.63821E+14,Norestech,,Norestech,InternetCompany,0,159,0,no,https://www.facebook.com/Norestech/,,,,
1.44854E+14,2getherCEGL,,2gether2013.cegl,Community,0,162,0,yes,https://www.facebook.com/2gether2013.cegl/,,,,
1.31376E+14,LCPF-ITESMCampusLaguna,,,College&University,0,163,2,yes,https://www.facebook.com/LCPF-ITESM-Campus-Laguna-131376193547121/,,,,
1.05496E+14,"Boris,elBorregoSalvaje",,BorisTEC,PublicFigure,0,163,0,yes,https://www.facebook.com/BorisTEC/,,,,
3.16363E+14,"IngenieroenTecnologíasdeInformaciónyComunicaciones,CampusLaguna",,,Education,0,165,0,yes,https://www.facebook.com/Ingeniero-en-Tecnologías-de-Información-y-Comunicaciones-Campus-Laguna-316362955114558/,,,,
3.00507E+14,ColegioHebreoMonteSinai,,,School,0,166,0,no,https://www.facebook.com/pages/Colegio-Hebreo-Monte-Sinai/300506720016399,,,,
1.73699E+14,AIMCSF,,aimcsf,School,0,170,0,yes,https://www.facebook.com/aimcsf/,,,,
2.41183E+14,DeTodasLatitudes,,,RadioStation,0,170,0,yes,https://www.facebook.com/De-Todas-Latitudes-241182562592669/,,,,
1.878E+14,LicenciadoenCienciasQuímicas,,,Community,0,173,0,yes,https://www.facebook.com/Licenciado-en-Ciencias-Químicas-187799604588563/,,,,
4.08801E+14,"IngenieroenMecatrónica,CampusLaguna",,IMTCampusLaguna,Education,0,174,1,yes,https://www.facebook.com/IMTCampusLaguna/,,,,
3.90889E+14,ComitédeSeguridadEstudiantilCCM,,CSECCM,Organization,0,178,0,yes,https://www.facebook.com/CSECCM/,,,,
2.48692E+14,Codeart,,,Community,0,179,0,yes,https://www.facebook.com/Codeart-248691865274778/,,,,
1.64612E+15,ClubFaroCumbres,,,Education,0,180,0,yes,https://www.facebook.com/Club-Faro-Cumbres-1646118335627796/,,,,
4.2139E+14,LAGUNMODEL,,lagun.model,Education,0,184,0,yes,https://www.facebook.com/lagun.model/,,,,
